idHerba;nom_comu;noms_comuns_coneguts;nom_cientific;familia;descripcio_fulla;descripcio_tija;descripcio_flor;inflorescencia;arrels;rebrots;fruits;llavors;habitat;epoca_recollida;remeis;receptes;toxicitat;parts_utilitzades
71;Tormentil·la;Set-en-fulla;Potentilla erecta;Rosàcies;Fulles de la tija sèssils, generalment amb 3 folíols dentats i estípules grans (semblen 5-7 fulles).;Tiges fines, erectes o ascendents.;Grogues, amb 4 pètals (característica única, la resta de Potentilla en tenen 5).;Flors solitàries amb peduncles llargs.;Rizoma molt gruixut, vermell per dins (tuberós).;Rebrota anualment a partir d'un rizoma gruixut, curt i de color vermellós.;Aquenis menuts.;Dins del fruit.;Prats de muntanya, brugueres i llocs silícics humits.;Estiu (rizoma).;Astringent, antidiarreica, hemostàtica, antiinflamatòria, cicatritzant.;Decocció del rizoma per a ús extern o diarrees rebels.;"Segura en dosis d'ús; l'alt contingut en tanins pot causar molèsties gàstriques en persones sensibles.";arrel, rizoma
72;Gram negre;Potentilla reptant, herba de cinc dits;Potentilla reptans;Rosàcies;Fulles palmades amb 5 folíols (a vegades 7) dentats.;Tiges reptants que arrelen als nusos (estoloníferes).;Grogues, amb 5 pètals corbats al mig.;Flors solitàries que neixen a l'axil·la de les fulles.;Arrel principal llarga i ramificada.;Arrela fàcilment pels nusos de la tija.;Aquenis ovoides.;Menudes.;Herbeis humits, vores de camins i horts.;Estiu.;Astringent, antidiarreic, digestiu, antiinflamatori, hemostàtic, cicatritzant.;Esbandides bucals per a les aftes.;"No se li coneix toxicitat en dosis d'ús; és una planta d'ús medicinal segur.";arrel, rizoma, fulla
73;Cirerer;Cirerer de bosc;Prunus avium;Rosàcies;Grans, ovals, dentades, amb dos petits punts vermells (glàndules) a la base del limbe.;Arbre gran d'escorça grisenca que s'esqueixa horitzontalment.;Blanques, agrupades de 2 a 6 sobre llargs peduncles.;Umbel·les sèssils.;Sistema radicular extens.;Té una bona capacitat de rebrot de soca i d'arrel (polls).;Drupa globosa (cirera), vermella o negra, de gust dolç o àcid.;Un pinyol llis.;Boscos caducifolis i zones de muntanya mitjana.;Primavera (peduncle) i estiu (fruit).;Diürètic, febrífug, analgèsic, antireumàtic, laxant, acció vitamínica P.;"Infusió de ""cues de cirera"" com a diürètic potent.";El pinyol és tòxic si es trenca.;peduncle del fruit
74;Rosa mosqueta;Roser de pom d'or;Rosa rubiginosa;Rosàcies;Fulles amb folíols que tenen glàndules que fan olor de poma en fregar-les.;Arbust espinós similar al roser bord.;Roses intens o suau.;Petits grups.;Ramificades.;Rebrota amb facilitat des de la base i mitjançant estolons.;Gavarró vermell.;Llavors molt riques en oli.;Muntanya mitjana, llocs una mica més secs.;Estiu.;Emol·lient, cicatritzant, despigmentant.;Oli de rosa mosqueta per a la regeneració de la pell.;"Sense toxicitat; cal tenir precaució amb els pèls irritants de l'interior del fruit (gaverra).";llavor, oli
75;Gerdera;Gerdonera, gerder;Rubus idaeus;Rubus idaeus;Fulles amb 3-7 folíols, de color verd clar a l'anvers i blanc-tomentós (vellut) al revers.;Tiges d'un o dos anys, amb petites espines febles i sovint cobertes de pruïna.;Blanques, petites i poc vistoses.;Raïms curts terminals o axil·lars.;Rizoma reptant.;Rebrota amb força cada any.;Polidrupa vermella, flairosa i comestible (gerd).;Petits granets.;Boscos de muntanya, tarteres i zones frescals.;Estiu.;Diürètica, astringent, vitamínica, aromatitzant.;Xarop de gerds o infusió de fulles.;Sense toxicitat. Els fruits són comestibles i les fulles s'usen de forma segura en infusions.;fulla, fruit
76;Esbarzer;Esbarzerol, manguera;Rubus ulmifolius;Rosàcies;Compostes (3-5 folíols), verd fosc a l'anvers i blanc al revers.;Tiges llargues (turions) arquejades amb agullons molt forts.;Blanques o rosades, amb 5 pètals.;Raïms terminals allargats.;Arrels molt resistents.;Els turions arrelen quan toquen terra (capficats).;Polidrupa negra i brillant (móra).;Dins de cada granet de la móra.;Arreu: marges, rieres, boscos i horts.;Estiu (fulla i fruit).;Astringent, antidiarreic, hipoglucemiant, diürètic, antireumàtic, cicatritzant.;Esbandides bucals per a les genives inflades.;Planta segura. L'alt contingut en tanins de les fulles pot provocar restrenyiment en dosis altes.;flor, fruit, fulla
77;Moixera de guilla;Moixera de caçadors;Sorbus aucuparia;Rosàcies;Compostes, amb 11-15 folíols lanceolats i dentats.;Arbre petit d'escorça grisa i llisa.;Blanques, en grups molt densos.;Corimbes grans i terminals.;Sistema radicular profund.;"Capacitat moderada de rebrot de soca; creixement mitjà.";Pom de baies globoses de color taronja o vermell viu.;Petites llavors dures.;Boscos de muntanya (fagedes, abetoses).;Tardor (fruits).;Astringent, antidiarreica, laxant, colagoga.;Melmelades de baies (un cop cuites).;El fruit cru pot ser indigest.;baies
78;Galega;Ruda de cabres, galega oficial;Galega officinalis;Fabàcies;Fulles compostes (11-17 folíols), lanceolades, amb estípules a la base.;Tiges erectes, buides, molt ramificades i glabres (sense pèls).;De color blanc o lila clar, amb la forma típica de papallona.;Raïms llargs i terminals de moltes flors.;Rizoma curt del qual neixen diverses tiges.;Capacitat de rebrotar de la base.;Llegum estret, cilíndric i erecte.;Nombroses llavors en forma de ronyó.;Vores de rieres, prats humits i llocs amb aigua.;Estiu.;Hipoglucemiant, diürètica, galactògena, diaforètica.;Infusió per augmentar la producció de llet o baixar el sucre.;En dosis altes pot ser tòxica per al bestiar.;summitat florida, llavor
79;Corona de rei;Trèvol de banyes, corn de cérvol;Lotus corniculatus;Fabàcies;Fulles amb 5 folíols (3 a l'extrem i 2 a la base semblant a estípules).;Tiges reptants o ascendents, molt ramificades des de la base.;Grogues, sovint amb taques vermelloses abans d'obrir-se.;Umbel·les petites de 3-6 flors.;Arrel principal molt llarga i pivotant.;Planta perenne que es manté mitjançant una roseta basal.;Llegum cilíndric, disposat en forma de dits (recorda una pota de gall o corona).;Petites i brunes.;Prats de dall, camins i pastures humides.;Primavera i estiu.;Sedant per al sistema nerviós, espasmolítica, antiinflamatòria.;Infusió de flors per a l'insomni i estats de nerviosisme.;TÒXICA. S'ha utilitzat com a abortiva i pot provocar greus hemorràgies.;flor
80;Alfans;Alfalfa, farratge, llucerna;Medicago sativa;Fabàcies;Trifoliades, amb els folíols lleugerament dentats a l'àpex (punta).;Erecta, ramificada i de secció quadrada.;De color blau-violaci o purpuri, agrupades densament.;Raïms ovoides o capituliformes.;Arrel pivotant extremadament profunda (fins a 4 metres).;Gran capacitat de rebrotar després del dall.;Llegum petit cargolat en espiral (2-3 voltes).;Petites llavors groguenques.;Camps de conreu, marges i prats nitròfils.;Estiu.;Hemostàtic, antianèmic, hipocolesterolemiant, vitamínic, remineralitzant.;Consum de brots tendres en amanida o suc de planta fresca.;"Generalment segura; s'ha d'evitar l'ús excessiu per la presència de saponines.";parts aèries
81;Gavó espinós;Atura-bous, herba de la prunel·la;Ononis spinosa;Fabàcies;Petites fulles trifoliades a la base i simples a la part superior.;Arbust petit i baix, amb tiges llenyoses i espines fortes i punxents.;Rosa o purpúria, solitària a l'axil·la de les fulles.;Flors distribuïdes al llarg de la tija.;"Arrel molt llarga, dura i difícil d'arrencar (d'aquí ""atura-bous"").";Rebrota amb força des de la base i d'arrels profundes.;Llegum inflat, més curt que el calze.;1-3 llavors granuloses.;Pastures seques, camps abandonats i vores de camins assolellats.;Estiu (arrel i summitat).;Diürètic, salurètic, sudorífer, colagog, astringent.;Decocció de l'arrel per a les pedres al ronyó.;No es considera tòxica, però les espines poden causar lesions mecàniques a la pell.;arrel, summitat florida
82;Ginestrell;Ginesta d'escombres;Sarothamnus scoparius;Fabàcies;Fulles inferiors trifoliades i superiors simples, cauen aviat.;Arbust amb tiges verdes i estriades, molt flexibles.;Grans i de color groc intens.;Flors solitàries o en parelles a l'axil·la de les fulles.;Arrels profundes.;Gran capacitat de rebrotar després de tales o incendis.;Llegum aplanat, verd que torna negre, amb pèls llargs als marges.;Llavors marrons amb un apèndix carnós.;Zones silíciques, clarianes de bosc i brugueres.;Primavera (abans que s'obrin les flors).;Diürètic, vasoconstrictor, hipertensor, cardiotònic, antiarítmic, oxitòcic, hemostàtic.;L'extracte fluid s'usa per regular el pols (ús restringit).;TÒXICA: Conté esparteïna. No usar sense control mèdic.;flor, branca jove, extracte fluid
83;Salicària;Herba de l'aigua, llisera;Lythrum salicaria;Litràcies;Fulles lanceolades, sèssils (sense pecíol), disposades de forma oposada o en verticils de tres.;Tija erecta, de secció quadrangular i una mica vellosa.;De color rosa intens o porpra, amb 6 pètals llargs.;Espiga terminal llarga i molt vistosa.;Rizoma llenyós i ramificat.;Rebrota cada any de la seva soca llenyosa subterrània.;Capsula petita que s'obre en dues valves.;Nombroses i petites.;Vores de rius, rieres, aiguamolls i llocs molt humits del Montseny.;Estiu (floració).;Astringent, antidiarreica, antisèptica, hemostàtica, cicatritzant.;Decocció de la summitat per a diarrees o rentats de ferides.;"Molt segura; l'alta concentració de tanins pot causar restrenyiment.";summitat florida
84;Cameneri;Herba de Sant Antoni, epilobi;Epilobium angustifolium;Onagràcies;Fulles alternes, estretes i lanceolades, similars a les del salze.;Tija erecta, simple i sovint de color vermellós.;Grans, de color rosa-purpuri, amb 4 pètals desiguals.;Raïm terminal llarg i lax.;Rizoma reptant i carnós.;Emet nombrosos rebrots des de l'arrel.;Càpsula molt llarga i prima que s'obre longitudinalment.;Llavors amb un plomall de pèls blancs per volar amb el vent.;Clarianes de bosc frescals, tarteres i llocs incendiats de muntanya.;Estiu.;Antiinflamatori de pròstata, antidiarreic, astringent, cicatritzant, antimicòtic.;Infusió de la planta per a problemes prostàtics.;"Sense toxicitat notable; s'ha utilitzat tradicionalment sense efectes adversos documentats.";arrel, parts aèries
85;Enotera groga;Herba de l'asne, onagra;Oenothera biennis;Onagràcies;"Fulles de la base en roseta; les de la tija són alternes i dentades.";Erecta, robusta i coberta de pèls.;Grans, de color groc viu, que s'obren al vespre i fan olor de llimona.;Espiga terminal laxa.;Arrel napiforme (en forma de nap) i carnosa.;"Planta biennal; rebrota de la roseta basal el segon any.";Càpsula cilíndrica i vellosa.;Llavors petites i brunes, molt riques en oli.;Talussos, vores de camins i llocs sorrencs.;Estiu.;Regulador cardiovascular, regulador hormonal femení, antiartrític, regenerador cutani, antieczematós.;L'oli (per pressió en fred de les llavors) s'usa per a la síndrome premenstrual.;"Segura; s'utilitza en alimentació i cosmètica (oli d'enotera).";llavors, oli
86;Fumària;Herba de fum, matafoc;Fumaria officinalis;Papaveràcies;Fulles molt dividides, de color verd grisenc (glauc).;Tiges tènues, ascendents i glabres.;Petites, allargades (en esperó), de color rosa-purpuri amb la punta fosca.;Raïms de 10-40 flors.;Arrel prima i axonomorfa.;"Planta anual; no rebrota, es reprodueix per llavors cada temporada.";Aqueni globós i una mica aplanat a la punta.;Una llavor per fruit.;Camps de conreu, horts i llocs nitròfils.;Primavera.;Antihistamínica, antiasmàtica, digestiva, colerètica, laxant, depurativa.;Infusió de la planta florida com a depuratiu de la sang i la pell.;Pot ser lleugerament tòxica si es consumeix durant períodes molt prolongats (alcaloides).;planta florida
88;Mostassa silvestre;Morritort de camp;Lepidium campestre;Brassicàcies;Fulles de la tija nombroses, sagitades, que abracen la tija, cobertes de pèls suaus.;Erecta, molt ramificada a la part superior, grisenca.;Molt petites, blanques, amb 4 pètals.;Raïms densos.;Arrel napiforme.;Planta anual que neix ràpidament de llavors al camp.;Silícula ovalada, alada a la part superior i amb una petita osca.;Una llavor per compartiment.;Camps de conreu i vores de camins del Montseny.;Primavera i estiu.;Aperitiva, tònica digestiva, diürètica, rubefaent.;Les llavors s'havien usat com a substitut de la mostassa.;"Llavors irritants per a les mucoses; el consum de la planta en flor pot ser tòxic pel bestiar.";fulla, llavor
89;Erísimo;Herba dels cantors, xaramago;Sisymbrium officinale;Brassicàcies;Fulles dividides (pinnatipartides), amb el lòbul terminal més gran i arrodonit.;Erecta, amb branques obertes en angle recte, molt rígides.;Molt petites, grogues, amb 4 pètals.;Raïms llargs i estrets.;Arrel axonomorfa.;Planta anual que es ressembra sola amb molta facilitat.;Silícula cònica, molt petita, aplicada contra la tija.;Petites i groguenques.;Vores de camins, llocs habitats i runams.;Primavera i estiu.;Balsàmic, expectorant, espasmolitic, diürètic.;Infusió o xarop per a l'afonia i la ronquera (molt usada per cantants).;"Generalment segura; conté glucòsids cardiotònics en dosis molt baixes.";planta sencera
90;Creixen;Creixens de font, mansiunera;Rorippa nasturtium-aquaticum;Brassicàcies;"Fulles compostes amb folíols ovals, el terminal més gran; color verd fosc.";Tiges buides, ramificades i sovint prostrades o flotants.;Blanques, petites, en rams terminals.;Raïms curts.;Arrels adventícies que neixen dels nusos de la tija.;Es propaga fàcilment per esqueixos naturals en l'aigua.;Silíqua cilíndrica i curta.;Llavors en dues files.;Rieres, fonts i cursos d'aigua neta i poc profunda.;Tot l'any (millor abans de la floració).;Antiescorbútic, remineralitzant, diürètic, estimulant.;Consum en amanides (cal que l'aigua sigui neta de paràsits).;"Precaució amb el ""fegat de bou"" (paràsit) si hi ha bestiar a prop.";planta fresca
91;Herba de la gota;Rosada del sol, drosera;Drosera rotundifolia;Droseràcies;Fulles en roseta basal, orbiculars, cobertes de pèls glandulars vermells que secreten gotes enganxoses.;Tija floral (escap) sense fulles, molt fina.;Blanques o rosades, petites.;Cima unilateral al final de la tija.;Arrels molt poc desenvolupades.;Planta perenne que rebrota cada primavera d'un hibernacle (bulb de repòs).;Càpsula que s'obre en tres valves.;Llavors filiformes.;Molls d'esfagnes i zones pantanoses molt humides (molt rara al Montseny).;Estiu.;Antiespasmòdica, bèquica, antibacteriana, antiescleròtica, rubefaent.;Xarops pectorals per a la tos ferina i l'asma.;Planta protegida. Ús restringit.;planta sencera
92;Violeta;Viola de olor, viola vera, viola boscana;Viola odorata;Violàcies;Fulles en forma de cor (cordiformes), amb el marge dentat i pecíol llarg.;"No té tija aèria; emet estolons llargs i prims.";De color lila fosc o violeta, molt flairoses, amb un esperó característic.;Solitàries, sobre peduncles que neixen de la roseta.;Rizoma curt del qual surten els estolons.;Es propaga molt ràpidament per estolons.;Càpsula globosa i vellosa que s'obre en tres valves.;Llavors amb un apèndix carnós.;Vores de boscos frescals, sota bardisses i llocs ombrívols.;Final d'hivern i principis de primavera.;Antitussígena, antiinflamatòria, antipirètica, expectorant, emètica.;"Infusió de flors per a la tos; l'arrel és vomitiva.";L'arrel en dosis altes és un emètic fort.;flor, arrel
93;Pensament de camp;Viola tricolor, herba de la trinitat;Viola tricolor;Violàcies;Fulles ovals o lanceolades, amb estípules molt grans i dividides a la base.;Tiges ramificades, ascendents o prostrades.;Flors amb tres colors (violeta, groc i blanc), amb l'esperó curt.;Solitàries a l'axil·la de les fulles.;Arrel prima.;Planta anual o biennal que es reprodueix principalment per llavors.;Càpsula que s'obre amb elasticitat per llançar les llavors.;Petites i brillants.;Camps abandonats, pastures de muntanya i horts.;Primavera i estiu.;Depuratiu cutani, diürètic, antiinflamatori, laxant, antigotós.;Infusió depurativa: 20g de planta seca per litre d'aigua.;"Segura en dosis d'ús; un consum excessiu de llavors pot provocar vòmits.";planta florida
96;Herba de Sant Robert;Gerani de bosc, bec de cigonya;Geranium robertianum;Geraniàcies;Molt dividides (palmatisectes), sovint amb tons vermellosos i una olor forta i desagradable en fregar-les.;Tiges fràgils, ramificades i de color vermell viu.;Rosa amb 5 pètals sencers.;Flors en parelles sobre peduncles llargs.;Arrel prima i poc profunda.;Planta anual o biennal que es ressembra fàcilment.;"Esquizocarp amb un ""bec"" molt llarg que llança les llavors en assecar-se.";Llavors petites i llises.;Boscos ombrívols, peus de murs i llocs frescals.;Primavera i estiu.;Astringent, tònica general, diürètica, hipoglucemiant, hemostàtica, analgèsica.;Decocció per a esbandides bucals i ferides.;"Sense toxicitat notable; el seu fort olor és característic però inofensiu.";planta sencera
97;Llinet purgant;Lli bord;Linum catharticum;Linàcies;Fulles oposades (a diferència d altres llis), petites i ovals.;Tiges molt fines, erectes i ramificades a la part superior.;Molt petites, blanques, amb el centre groc.;Cimes laxes i terminals.;Arrel petita i fibrosa.;"Planta anual de cicle curt; no rebrota de soca.";Càpsula globosa.;Petites llavors brillants.;Prats humits i pastures de muntanya mitjana.;Estiu.;Purgant, emètic.;Ús tradicional com a laxant fort (molta precaució).;Pot causar vòmits si s excedeix la dosi.;planta sencera
98;Llinet;Lli comú;Linum usitatissimum;Linàcies;Alternatives, linears i lanceolades, amb tres nervis.;Erecta, molt esvelta i fibrosa.;Grans i d un blau cel molt bonic.;Cimes terminals.;Arrel axonomorfa.;Planta perenne que rebrota de la base llenyosa.;Càpsula globosa que conté 10 llavors.;Llavors aplanades, ovals, marrons i molt brillants (llinosa).;Camps cultivats o escapada de conreus.;Estiu.;Laxant, hipelipemiant, antisèptic, acció vitamínica F.;Farina de llinosa per a cataplasmes (per madurar abscessos).;"Dosi moderada segura; les llavors i fulles contenen petits nivells de precursors cianogènics.";llavors
99;Ruda;Ruda de muntanya;Ruta montana;Rutàcies;Molt dividides en segments linears i fins, de color verd glauc.;Llenyosa a la base, molt ramificada i amb una olor molt intensa i característica.;Grogues, petites, amb 4 pètals dentats.;Cimes terminals denses.;Arrel llenyosa i profunda.;Planta perenne amb base llenyosa que rebrota amb facilitat.;Càpsula amb 4-5 lòbuls.;Llavors negres i rugoses.;Llocs secs, pedregosos i assolellats.;Estiu (floració).;Emenagoga, reforçant capil·lar, antihemoptísica, antireumàtica.;Ús tradicional per regular la regla o per a les berrugues.;Molt tòxica per ingestió i pot causar cremades a la pell per fotosensibilitat.;summitat florida
100;Polígala rupestre;Herba de l herniat;Polygala rupestris;Poligalàcies;Linears o lanceolades, coriacies i persistents.;Tiges llenyoses a la base, nombroses i prostrades o ascendents.;Flors petites, de color rosa o porpra, amb una forma que recorda a les lleguminoses.;Raïms curts.;Rizoma llenyós.;Rebrota de la base llenyosa després de la floració.;Càpsula aplanada i alada.;Dues llavors peludes.;Roques, pedruscall i llocs molt assolellats.;Primavera.;Diürètica, expectorant, antiinflamatòria.;Infusió de l arrel per a la bronquitis.;"Sense toxicitat greu coneguda; té efectes expectorants potents.";rizoma, arrel
101;Espinavessa;Espina de Crist;Paliurus spina-christi;Ramnàcies;"Ovals, amb tres nervis marcats; a la base tenen dues espines (una recta i una corba).";Arbust molt espinós amb branques en ziga-zaga.;Molt petites, grogues.;Cimes axil·lars.;Profundes.;Arbust amb gran capacitat de rebrotar de soca i arrels.;Fruit sec, llenyós i amb una ala circular ondulada (sembla un barret).;Tres llavors.;Llocs secs i assolellats, marges de camins.;Estiu.;Diürètica, hipocolesterolemiant, hipotensora.;Decocció dels fruits per a la hipertensió.;"Sense toxicitat notable; cal vigilar amb les punxades de les espines.";fruits, llavors
102;Ginjoler;Ginjols;Ziziphus jujuba;Ramnàcies;Ovals, dentades i lluents, amb espines a la base.;Arbre petit amb branques una mica penjants i espinoses.;Grogues i molt petites.;Agrupades a les axil·les de les fulles.;Sistema radicular fort.;Rebrota de soca i genera molts rebrots d'arrel (estolons).;Drupa ovoide (ginjol) que passa de verd a vermell-marró, semblant a una oliva.;Un pinyol dur.;Cultivat prop de masies i a vegades naturalitzat.;Tardor (fruit).;Astringent, antidiarreic, hipoglucemiant, vitamínic, demulcent.;Els ginjols es mengen frescos o assecats (pectorals).;"Els fruits són comestibles i segurs; les llavors en dosis altes poden ser sedants.";fruit, escorça, fulla
103;Vinya;Cep;Vitis vinifera;Vitàcies;Grans, palmades (pàmpols), amb 3-5 lòbuls i marge dentat.;Liana llenyosa que s enfila mitjançant circells.;Petites i verdes.;Panícules (raïms).;Molt profundes.;Rebrota amb molta força cada any després de la poda hivernal.;Baia globosa (raïm), dolça i sucosa.;Llavors dures i riques en oli.;Cultivada en terrasses i marges.;Estiu i tardor.;Venotònica, vasoprotectora, astringent, diürètica, antihemorroïdal.;Decocció de fulles per a banys de peus cansats (circulatòria).;"Segura; les fulles poden ser astringents pel seu alt contingut en tanins.";fulla, fruit, llavor
104;Sanguinyol;Sanguinyola, danguinyol;Cornus sanguinea;Cornàcies;"Ovals amb nervis corbats cap a la punta; a la tardor es tornen de color vermell sang.";Arbust de branques rectes i rogenques.;Blanques, en rams plans (corimbes).;Terminals.;Ramificades.;Rebrota vigorosament de soca i sovint per murgons.;Baia petita, negra i amarga.;Un pinyol.;Bardisses i marges de boscos humits.;Primavera (flor) i tardor (fruit).;Febrífug.;L escorça s havia usat per baixar la febre.;Els fruits són tòxics (purgants forts).;fruit, escorça
105;Comí de prat;Carvalla, comí de muntanya;Carum carvi;Apiàcies;Molt dividides en segments fins i lineals, de color verd brillant.;Erecta, estriada i ramificada.;Petites, blanques o rosades.;Umbel·la amb 5-15 radis desiguals, sense bràctees.;Arrel napiforme, comestible.;"Planta biennal; rebrota de l'arrel napiforme el segon any.";Diàqueni ovoide, marró, amb 5 costelles clares i olor aromàtica.;Dues llavors per fruit.;Prats de muntanya i pastures frescals.;Estiu (fruits).;Aperitiu, eupèptic, carminatiu, antiespasmòdic.;Infusió de fruits per als gasos i digestions pesades.;"Segura en l'ús culinari; l'oli essencial pot ser irritant en dosis pures.";fruit
106;Cicuta;Cicuta major, herba de talls;Conium maculatum;Apiàcies;Grans, molt dividides (pinnatisectes), similars a les del julivert però amb una olor fètida (com d orina de ratolí) en fregar-les.;Robusta, buida, amb taques o macules de color purpuri a la base.;Blanques i petites.;Umbel·les compostes amb 10-20 radis.;Arrel blanquinosa i napiforme.;"Planta biennal; rebrota de la base el segon any de cicle.";Petit, ovoide, amb costelles ondulades.;Dues llavors.;Llocs humits, runams, vores de camins i prop de masies.;Estiu.;Antiespasmòdica, analgèsica.;S usava en oli per a dolors externs.;EXTREMADAMENT TÒXICA. La ingestió és mortal.;fruit, planta fresca sencera, oli
107;Pastanaga borda;Pastanaga salvatge;Daucus carota;Apiàcies;Molt dividides, velloses, amb segments lanceolats.;Erecta, estriada i coberta de pèls rígids.;Blanques, sovint amb una única flor central de color vermell fosc o porpra.;Umbel·la composta que es contrau en madurar semblant un niu.;Arrel axonomorfa, blanca i fibrosa (no taronja).;"Planta biennal; rebrota de l'arrel el segon any de cicle.";Petit i cobert de punxes o agullons que se n enganxen.;Dues llavors.;Marges de camins, prats secs i erms.;Estiu (fruits) i tardor (arrel).;Aperitiva, carminativa, diürètica, galactògena, remineralitzant, astringent, oftàlmica.;Decocció de l arrel o infusió de fruits.;Segura, però pot causar dermatitis de contacte per fotosensibilitat en algunes persones.;arrel, fruit
108;Espinacal;Panical campestre, cent-caps;Eryngium campestre;Apiàcies;Coriàcies, rígides i molt espinoses, de color verd grisenc.;Erecta, molt ramificada i dura.;Blanques o blavoses, molt petites, agrupades en capítols densos.;Capítols globosos protegits per bràctees espinoses llargues.;Arrel molt llarga i profunda (fins a 5 metres).;"Rebrota de la base cada any; planta vivaç.";Aqueni cobert d escames.;Dues llavors.;Erms, prats secs i llocs assolellats.;Estiu (arrel).;Diürètic, diaforètic, aperitiu, astringent, expectorant.;Decocció de l arrel per a les vies urinàries.;"Molt segura; és una planta vivaç d'ús alimentari sense components tòxics.";arrel
109;Fonoll;Fenoll;Foeniculum vulgare;Apiàcies;Molt dividides en segments filiformes (com fils), de color verd glauc.;"Erecta, estriada, buida i molt ramificada; fa una olor anisada forta.";Grogues, petites, sense sèpals.;Umbel·les compostes grans, sense bràctees a la base.;Arrel gruixuda i blanca.;Rebrota cada any de la base.;Diàqueni allargat, marró, amb costelles prominents i gust anisat.;Dues llavors.;Vores de camins, horts i marges assolellats.;Estiu i tardor (fruits).;Carminatiu, eupèptic, espasmolític, galactogen, expectorant, antisèptic ocular.;Infusió de fruits per a còlics i per netejar els ulls.;"Segura en ús culinari. L'oli essencial pur pot ser neurotòxic en dosis altes; evitar en l'embaràs.";fruit, arrel, fulla, planta sencera
110;Julivert;Julivert comú;Petroselinum sativum;Apiàcies;Triangulars, dividides en segments dentats, lluents i molt aromàtiques.;Erecta i estriada.;Grogues-verdoses.;Umbel·les amb 8-20 radis.;Arrel napiforme blanca.;Planta biennal que rebrota de la base el segon any abans de la floració.;Petit i ovoide.;Dues llavors.;Cultivat i sovint escapat en murs i roques humides.;Tot l any.;Diürètic, aperitiu, digestiu, emenagog, remineralitzant, antianèmic.;Consum en cru (ric en vitamina C i ferro).;En dosis molt altes (oli essencial) pot ser abortiu.;planta sencera
111;Sanícula;Herba de Sant Llorenç;Sanicula europaea;Apiàcies;Fulles basals amb pecíol llarg, palmades (3-5 lòbuls) i de color verd fosc brillant.;Tija nua (escap floral) que surt del centre de la roseta.;Blanques o rosades, agrupades en caps petits.;Umbel·les simples i globoses.;Rizoma curt i negre.;Planta perenne que rebrota cada any a partir d'un rizoma curt i fibrós.;Fruit cobert d agullons ganxuts per a la dispersió.;Dues llavors.;Fagedes i boscos ombrívols i humits.;Primavera i estiu.;Astringent, anticatarral, vulnerària.;Infusió per a la tos o ús extern per a ferides.;"Segura en dosis recomanades; l'alt contingut en saponines pot irritar les mucoses si s'ingereix en excés.";planta sencera
112;Vern;Gatell, verneda;Alnus glutinosa;Betulàcies;"Ovals, amb la punta truncada (semblen mossegades) i marge dentat; enganxoses de joves.";Arbre de mida mitjana amb escorça bruna i esquerdada.;"Flors en aments: els masculins llargs i penjants; els femenins petits i ovoides.";Aments.;"Arrels amb nòduls fixadors de nitrogen; resisteixen la inundació.";"Gran capacitat de rebrot de soca; sovint creix amb diversos troncs des de la base.";Pinya petita i llenyosa (pseudostrobils) que persisteix a l arbre.;Llavors alades.;Vores de rius, rieres i llocs amb aigua permanent.;Primavera (escorça) i estiu (fulla).;Astringent, colerètic, antireumàtic, cicatritzant.;Decocció de l escorça per a inflamacions de gola.;"Sense toxicitat notable; l'escorça fresca pot ser emètica (provocar el vòmit) si no està ben seca.";fulla, escorça
113;Bedoll;Bedoll comú, beç;Betula alba;Betulàcies;Petites, triangulars o en forma de rombe, dentades i acabades en punta.;Tronc molt característic amb l escorça blanca que es desprèn en tires horitzontals.;"Aments masculins penjants; femenins erectes de joves.";Aments.;Sistema radicular estès.;Té capacitat de rebrotar de soca, però és menys vigorós que altres caducifolis.;Petit aqueni alat.;Llavors molt lleugeres.;Zones altes del Montseny, clarianes de bosc humit.;Primavera (saba i fulles).;Diürètic, antireumàtic, febrífug, antialopècic, antieczematós.;Saba de bedoll com a depuratiu de primavera.;Molt segura. L'oli de bedoll (destil·lació de l'escorça) s'ha d'usar amb precaució a la pell.;fulla, escorça, gemma, saba
114;Avellaner;Avellaner boscà;Corylus avellana;Betulàcies;Grans, arrodonides, doblement dentades i velloses.;Arbust gran o arbret que sol créixer en grup (mats). Escorça llisa i rogenca.;"Aments masculins grocs que surten a l hivern; flors femenines molt petites amb estigmes vermells.";Aments.;Ramificades.;Rebrota amb molta facilitat de la soca.;Núcula (avellana) amb closca dura, protegida per un involucre verd.;Llavor comestible (avellana).;Boscos frescals, rieres i muntanya mitjana.;Hivern (aments), primavera (fulla) i tardor (fruit).;Vitamínica P, astringent, venotònic, vasoprotector, cicatritzant.;Infusió de fulles per a les varius i la circulació.;Sense toxicitat. Les fulles i l'escorça són molt segures per a ús medicinal.;fulla, escorça, fruit
